ACCTG-19,WORK EXPERIENCE (COOPERATIVE) OCCUPATIONAL,Transferable to CSU only,8
ACCTG-4A,FINANCIAL ACCOUNTING,Transferable to both UC and CSU,4
ACCTG-4B,MANAGERIAL ACCOUNTING,Transferable to both UC and CSU,4
ACCTG-51,INTERMEDIATE ACCOUNTING,Transferable to CSU only,3
ACCTG-52,COST ACCOUNTING,Transferable to CSU only,3
ACCTG-53,TAX ACCOUNTING,Transferable to CSU only,3
ACCTG-54A,PRINCIPLES OF AUDITING,Transferable to CSU only,3
ACCTG-56,PAYROLL ACCOUNTING,Transferable to CSU only,3
ACCTG-70,QUICKBOOKS FUNDAMENTALS,Transferable to CSU only,3
AFRAM-1,INTRODUCTION TO AFRICAN AMERICAN STUDIES,Transferable to both UC and CSU,3
AFRAM-15,AFRICAN-AMERICAN MUSIC,Transferable to both UC and CSU,3
AFRAM-2,AFRICAN AMERICAN CULTURAL ADAPTATION,Transferable to both UC and CSU,3
AFRAM-3,AFRICAN-AMERICAN ART,Transferable to both UC and CSU,3
AFRAM-34,HISTORY OF THE AMERICAN CIVIL RIGHTS MOVEMENT,Transferable to both UC and CSU,3
AG-31,FOOD SAFETY - HACCP,Transferable to CSU only,3
AGBS-1,INTRODUCTION TO AGRICULTURE BUSINESS,Transferable to CSU only,3
AGBS-2,AGRICULTURAL ECONOMICS,Transferable to both UC and CSU,3
AGBS-3,AGRICULTURE ACCOUNTING,Transferable to CSU only,3
AGBS-4,COMPUTER APPLICATIONS IN AGRICULTURE,Transferable to both UC and CSU,3
AGBS-5,AG SALES AND COMMUNICATIONS,Transferable to CSU only,3
AGED-50,AGRICULTURE EDUCATION ORIENTATION,Transferable to CSU only,3
AHLTH-1,INTRODUCTION TO PUBLIC HEALTH,Transferable to both UC and CSU,3
AMIND-31,AMERICAN INDIAN CULTURE,Transferable to both UC and CSU,3
AMIND-32,AMERICAN INDIAN HISTORY,Transferable to both UC and CSU,3
AMIND-35,AMERICAN INDIAN ART,Transferable to both UC and CSU,3
AMST-10,AMERICAN PLURALISM: A SEARCH FOR COMMON GROUND IN A MULTICULTURAL SO,Transferable to both UC and CSU,3
AMST-11,LAW AND DEMOCRACY,Transferable to both UC and CSU,3
AMT-10,AVIATION MAINTENANCE GENERAL A,Transferable to CSU only,6.5
AMT-20,AVIATION MAINTENANCE GENERAL B,Transferable to CSU only,6.5
AMT-30,AVIATION MAINTENANCE AIRFRAME A,Transferable to CSU only,6.5
AMT-40,AVIATION MAINTENANCE AIRFRAME B,Transferable to CSU only,6.5
